Farmer ID,CropArea_Ha,YearName,MonthNumber,WeekNumber,QuantityKg
774,0.1046,2020,10,43,70.2
1883,0.2509,2021,11,46,152.1
17258,0.1173,2020,3,13,12.3
1029,0.1808,2021,4,15,7.9
15566,0.064,2020,8,35,6.6
1315,0.3177,2019,12,53,50
2250,0.5231,2020,8,34,85.3
1011,0.8271,2022,9,38,94
1901,1.8948,2020,6,23,407.6
828,0.7177,2021,2,7,26.6
2323,1.5576,2019,9,39,281.1
878,0.8577,2020,6,27,86.9
640,0.5167,2022,7,31,27
683,3.5,2021,6,25,255.8
17208,0.2998,2019,8,32,43.7
15066,6,2021,10,41,379.7
1240,0.8133,2023,7,30,26.3
1372,0.2991,2021,7,29,117.8
1959,0.8794,2020,11,45,150.5
1853,0.6951,2021,4,17,91.9
2019,0.48,2022,6,24,42.4
961,0.3088,2023,5,18,27.1
15099,0.2782,2019,1,1,178
2416,0.3514,2021,10,41,60.1
2045,0.38,2021,12,52,55.6
1957,0.1931,2023,7,27,12.4
2654,0.6008,2019,9,37,32.8
2800,0.7192,2020,12,53,265
2451,0.1765,2020,10,42,131
2298,4.9254,2022,8,36,520.9
2248,0.6237,2023,4,16,32.1
1139,0.9438,2023,1,1,56.3
15867,0.0798,2022,11,49,27.7
17836,0.1227,2023,10,43,43.7
17359,1.6305,2022,11,48,124.6
2403,1.1941,2021,8,36,51.2
1818,0.3131,2019,9,37,101.3
908,0.7702,2023,1,4,163.2
2600,0.4869,2023,1,3,206.7
2774,0.22,2020,2,7,27.2
558,1.1968,2020,4,16,135.1
552,0.4149,2021,9,37,72.5
17090,0.2855,2020,3,10,7.6
730,0.3285,2023,5,21,48
907,0.2523,2022,2,10,12.1
741,0.3724,2021,11,47,153.8
2295,0.1686,2019,11,46,32.7
1281,0.7108,2020,3,10,47.2
1420,0.5637,2023,7,31,26.3
17827,0.6471,2023,5,21,35.3
909,1.5575,2020,11,45,518.8
2131,0.3869,2020,8,31,54.9
2160,1.0411,2019,10,44,516.5
1424,0.4067,2023,4,14,39.2
858,0.9663,2021,9,36,20.5
966,0.4823,2023,6,26,203.9
15865,2.3356,2021,2,8,175.5
15646,0.1029,2019,10,44,16.8
2076,0.7383,2023,7,30,52.5
2093,1.091,2019,7,31,76.5
2161,0.716,2019,8,33,120.3
2636,5,2022,3,11,1206.4
17074,1.0069,2021,5,20,64.1
17307,0.5,2023,8,31,5.4
2826,23.679,2019,6,23,3324.2
1995,0.6583,2021,10,45,20.2
638,1.3586,2022,3,13,100.4
1928,0.1553,2020,6,27,13.6
2796,0.2701,2023,4,17,28.1
1115,0.6811,2019,1,3,50.5
785,0.7603,2023,4,18,36.7
2792,0.7225,2019,4,15,312.6
1846,0.3393,2019,7,30,95.2
15687,0.3,2022,11,48,19
15859,0.4482,2021,3,11,58.3
17314,0.0451,2019,8,34,15.7
19274,2,2021,7,29,296.8
1440,0.2345,2022,1,5,90.5
17098,1.0752,2021,11,48,208.1
575,2.3597,2020,9,40,79.1
17065,0.1,2021,7,29,92.1
873,0.1199,2020,5,19,102.6
1889,1.4009,2023,6,25,724.7
2710,0.6257,2022,3,10,98.4
631,0.1339,2022,9,40,61.7
2223,0.4232,2021,8,35,15.5
838,0.7099,2019,10,44,153.6
1881,0.4533,2020,2,5,16.7
16534,0.7744,2019,9,38,143.5
15613,0.2005,2022,3,13,24.6
15604,0.3017,2020,2,8,26.7
836,0.2251,2021,5,22,75.6
17036,0.2188,2021,11,47,87.1
2731,0.2737,2023,5,22,59
2683,0.4737,2021,5,20,153.3
17329,0.2279,2019,9,40,39.3
16630,0.6972,2020,6,25,208.7
2821,0.2169,2023,9,38,79.5
754,0.8196,2023,7,31,18.7
1995,0.6583,2022,8,32,49.5
1110,0.5937,2023,1,1,24.2
1124,0.4354,2023,7,31,46.8
805,0.0518,2019,10,43,95.6
2580,0.3627,2020,6,25,62.5
792,0.3357,2019,5,20,25.7
909,1.5575,2019,6,27,43
1320,0.3839,2021,1,4,111.1
17834,0.0412,2023,11,47,43.3
1923,0.1714,2020,5,19,48.2
2107,0.0345,2019,3,12,28.8
1253,0.1701,2020,4,17,88.5
2575,0.1187,2020,8,35,80.2
1154,0.1494,2022,6,24,72.6
588,0.7663,2022,1,6,47.8
1651,0.1188,2019,10,41,72.8
15644,0.2849,2023,9,36,21.1
1953,0.7884,2019,9,39,84.6
2556,0.5753,2021,12,51,372.5
1337,0.3155,2021,3,10,63.4
1986,0.4614,2019,5,22,87.3
